"Status","Name","Duration in ms","Description"
"passed","Session 2019-3-1 06:59:38..printTests()","3",""
"passed","2 generated tests.Test case #1","4",""
"passed","Session 2019-3-1 06:59:38..write()","3",""
"passed","Session 2019-3-1 06:59:38.with option values","93",""
"passed","Session 2019-3-1 06:59:38..__getSteps()","4",""
"passed","Session 2019-3-1 06:59:38..printUnusedSteps()","4",""
"passed","Session 2019-3-1 06:59:38..generate()","5",""
"passed","globals.import","20",""
"passed","Session 2019-3-1 06:59:38..isSub()","3",""
"passed","Session 2019-3-1 06:59:38.test instance","6",""
"passed","Session 2019-3-1 06:59:38..run()","8",""
"passed","2 generated tests.Test case #2","2",""
"passed","Session 2019-3-1 06:59:38.with default values","70",""
